연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
1,SK네트웍스 Family AI 캠프,1,교과목실습1,K Car 중고차 정보·후기·FAQ 수집 및 데이터베이스 구축,"K Car의 중고차 매물정보, 구매후기 및 고객 FAQ를 크롤링하여 정형화하고 데이터베이스에 저장하는 데이터 수집 시스템 구축","K Car 중고차 매물정보(모델명·가격·연식·주행거리·연료·거래지역), 구매후기, FAQ 데이터","Python, Selenium, Pandas, MySQL, PyMySQL, SQLAlchemy",SKNETWORKS-FAMILY-AICAMP/SKN01-1st-1Team (github.com)
2,SK네트웍스 Family AI 캠프,1,교과목실습1,엔카 친환경 중고차 분석 및 FAQ 조회 서비스,"엔카의 전기차·하이브리드 등 친환경 중고차 매물을 수집하고, 지역별 매물 분포와 데이터 통계·시각화 및 FAQ 검색 기능을 제공하는 웹 애플리케이션 구축","엔카 친환경 중고차 매물정보(차량명·연식·주행거리·연료유형·지역), 엔카 고객 FAQ 데이터","Python, Selenium, BeautifulSoup, Pandas, MySQL, PyMySQL, SQLAlchemy, Streamlit, Folium, PyGWalker, OpenPyXL",SKNETWORKS-FAMILY-AICAMP/SKN01-1st-2Team (github.com)
3,SK네트웍스 Family AI 캠프,1,교과목실습1,전기차 종합 데이터 조회 포털,"전기차 모델별 성능정보, 지역별 등록 현황, 구매 보조금 및 충전요금을 수집·통합하여 조회하고 시각화하는 웹 포털 구축","전기차 모델정보, 지역별 전기차 등록대수, 지자체별 전기·수소차 보조금, 충전사업자별 충전요금 데이터","Python, Selenium, BeautifulSoup, Requests, Pandas, MySQL, SQLAlchemy, Streamlit, Plotly, Matplotlib, OpenPyXL","SKNETWORKS-FAMILY-AICAMP/SKN01-1st-3Team: Web Crawling Toy Project with Selenium, MySQL, and Streamlit (github.com)"
4,SK네트웍스 Family AI 캠프,1,교과목실습1,전기차·충전소 현황 및 SK 일렉링크 FAQ 조회 시스템,"국내 전기차 등록 현황과 충전소 위치·운영정보를 지도와 차트로 시각화하고, SK 일렉링크의 고객 FAQ를 함께 조회할 수 있는 서비스 구축","한국환경공단 전기차 충전소 정보, 한국전력공사 충전소 운영정보, 국토교통 통계누리 자동차등록현황, SK 일렉링크 FAQ","Python, Selenium, BeautifulSoup, Requests, Pandas, MySQL, SQLAlchemy, Streamlit, Folium, Kepler.gl, GeoJSON",SKNETWORKS-FAMILY-AICAMP/SKN01-1st-4Team (github.com)
5,SK네트웍스 Family AI 캠프,1,교과목실습1,국내 자동차 브랜드 통합 FAQ 검색 시스템,자동차 브랜드별 홈페이지를 각각 방문해야 하는 불편을 개선하기 위해 현대자동차·기아·제네시스의 FAQ를 한 번에 검색할 수 있는 통합 웹서비스 구축,"현대자동차·기아·제네시스 FAQ, 연도별·지역별 자동차 등록 현황 데이터","Python, Selenium, Pandas, MySQL·MariaDB, SQLAlchemy, Streamlit, Git, GitHub",SKNETWORKS-FAMILY-AICAMP/SKN01-1st-5Team: Integrated FAQ search Web-app (github.com)
6,SK네트웍스 Family AI 캠프,1,교과목실습1,전국 자동차 등록 현황 및 SK렌터카 FAQ 조회 시스템,전국의 차종별·지역별·용도별 자동차 등록 현황을 시각화하고 SK렌터카 고객 FAQ를 검색할 수 있는 웹 애플리케이션 구축,"KOSIS 자동차 등록 통계, SK렌터카 고객 FAQ 데이터","Python, Requests, Selenium, BeautifulSoup, Pandas, NumPy, MySQL Connector, SQLAlchemy, Streamlit, Streamlit Option Menu, Matplotlib, Seaborn, Plotly, OpenPyXL, XlsxWriter",SKNETWORKS-FAMILY-AICAMP/SKN01-1st-6Team (github.com)
7,SK네트웍스 Family AI 캠프,1,교과목실습2,OTT 통합 구독 서비스 고객 이탈 및 구매 동향 예측,"여러 OTT 콘텐츠와 구독 서비스를 하나의 플랫폼에서 이용할 수 있도록 구현하고, 회원의 가입기간과 이용·구매 패턴을 분석하여 고객 이탈 가능성과 유사 상품 구매 동향을 예측",,"TypeScript, Vue.js, Vuetify 3, Axios, Bootstrap, D3.js, Python, Django, FastAPI, Pandas, Scikit-learn, K-means Clustering, Linear Regression",GitHub - SKNETWORKS-FAMILY-AICAMP/SKN01-2nd-1Team: 가입 고객 이탈 예측 및 구매 동향 예측
8,SK네트웍스 Family AI 캠프,1,교과목실습2,이모티콘 구매 플랫폼 고객 선호 및 구매 동향 예측,"다양한 이모티콘을 검색·구매하고 리뷰와 게시글을 작성할 수 있는 플랫폼을 구축하고, 연령과 성별에 따른 선호 카테고리를 분류하여 구매 동향을 분석",,"Python, Django, FastAPI, TensorFlow, Keras, LightGBM, Vue.js, Vuetify 3, TypeScript, JavaScript, Axios, MySQL, Redis, SQLAlchemy, Docker, Graphviz",GitHub - SKNETWORKS-FAMILY-AICAMP/SKN01-2nd-2Team: 가입 고객 이탈 예측 및 구매 동향 예측
9,SK네트웍스 Family AI 캠프,1,교과목실습2,국내 여행 패키지 추천 및 고객 이탈 예측,"국내 여행 패키지 상품을 비교·예약할 수 있는 웹서비스를 구축하고, 연령별 여행지 선호도와 장기간 미이용 고객의 이탈 가능성을 분석·예측",,"Python, Django, FastAPI, Vue.js, Pandas, OpenPyXL, Logistic Regression, Random Forest, 데이터 전처리·이상치 처리",GitHub - SKNETWORKS-FAMILY-AICAMP/SKN01-2nd-3Team: 가입 고객 이탈 예측 및 구매 동향 예측
10,SK네트웍스 Family AI 캠프,1,교과목실습2,러닝화 쇼핑몰 고객 이탈 및 구매 동향 예측,"주요 러닝화 브랜드 상품을 판매하는 쇼핑 플랫폼을 구축하고, 회원 특성·접속 빈도·구매량·기대수익을 분석하여 고객 이탈과 구매 동향을 관리자용 리포트로 제공",,"Python, Django, FastAPI, Vue.js, Vuetify 3, TypeScript, Axios, D3.js, Vuex, 상관분석, PCA, Machine Learning",GitHub - SKNETWORKS-FAMILY-AICAMP/SKN01-2nd-4Team: 가입 고객 이탈 예측 및 구매 동향 예측
11,SK네트웍스 Family AI 캠프,1,교과목실습2,호텔 추천 및 고객 이탈 예측 서비스,"워커힐 계열 호텔에 대한 고객 이용 동향을 분석하여 개인별 호텔을 추천하고, 고객의 구매·재구매·공유 행동을 기반으로 이탈 가능성을 분석하는 웹서비스 구축",,"Python, Django, FastAPI, TypeScript, Vue.js, Vuetify 3, Axios, D3.js, MySQL, Graphviz, Logistic Regression, AARRR 분석",GitHub - SKNETWORKS-FAMILY-AICAMP/SKN01-2nd-5Team: 가입 고객 이탈 예측 및 구매 동향 예측
12,SK네트웍스 Family AI 캠프,1,교과목실습3,고객 이탈 및 구매 동향 예측 웹서비스 구축,고객의 구매·반품·구독 이력을 분석하여 이탈 가능성과 구매 동향을 예측하는 웹서비스에 자동 빌드·테스트·배포 환경 구축,,"TypeScript, Pandas, NumPy, OpenPyXL, SQLAlchemy, TensorFlow, Keras, AWS EC2·S3",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-3rd-1Team
13,SK네트웍스 Family AI 캠프,1,교과목실습3,이모티콘 구매·커뮤니티 플랫폼 구축,"이모티콘 검색·구매와 리뷰·게시글 기능을 제공하고, 구매 데이터를 분석하는 웹서비스의 자동 배포 환경 구축",,"JavaScript, Scikit-learn, TensorFlow, Keras",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-3rd-2Team
14,SK네트웍스 Family AI 캠프,1,교과목실습3,여행 서비스 데이터 분석 웹서비스 구축,여행 상품 주문 데이터를 군집화·분류·예측하는 AI 기능과 웹 애플리케이션을 통합하고 자동 배포 파이프라인 구축,,"JavaScript, Pandas, Scikit-learn, Postman, Graphviz",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-3rd-3Team
15,SK네트웍스 Family AI 캠프,1,교과목실습3,러닝화 추천 및 고객 이탈 예측 플랫폼 구축,"러닝화 쇼핑몰의 구매 동향 분석, 상품 추천 및 고객 이탈 예측 결과를 관리자에게 제공하는 플랫폼의 자동 배포 환경 구축",,"TypeScript, D3.js, TensorFlow, Kakao API",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-3rd-4Team
16,SK네트웍스 Family AI 캠프,1,교과목실습3,호텔 예약 분석 및 고객 이탈 예측 웹서비스 구축,호텔 예약·이용 데이터를 분석하고 고객 이탈 가능성을 예측하는 웹서비스에 자동 빌드·배포 환경 구축,,"TypeScript, HTML·CSS, Pandas, NumPy, Scikit-learn, Graphviz",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-3rd-5Team
17,SK네트웍스 Family AI 캠프,1,교과목실습4,LLM 기반 논문 요약 및 질의응답 서비스,"논문 텍스트에서 TF-IDF 기반으로 핵심 문장을 추출하고, FAISS 벡터 저장소와 RAG를 활용하여 논문 요약·설명·질의응답 기능을 제공하는 서비스 구축",,"TypeScript, Vue.js, Vuetify 3, Axios, Python, Django, MySQL, Redis, FastAPI, OpenAI GPT-4o-mini, LangChain, RAG, FAISS, TF-IDF, NetworkX, Docker, AWS, GitHub Actions, DLLS, Socket 통신, TLS/SSL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-4th-1Team
18,SK네트웍스 Family AI 캠프,1,교과목실습4,MBTI 기반 AI 이상형 소개팅 게임,"16개 MBTI 유형의 AI 캐릭터와 소개팅 대화를 진행하고, 대화 내용과 호감도 변화를 분석하여 말투·대화법 피드백과 사용자 맞춤형 이상형 프로필을 제공하는 게임형 서비스 구축",,"Python, Django, FastAPI, Vue.js, Vuetify, JavaScript, TypeScript, Axios, MySQL, Redis, TensorFlow, Keras, OpenAI API Fine-tuning, Unity, JWT, OAuth, AWS EC2·S3, Docker, DLLS, Socket 통신, TLS/SSL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-4th-2Team
19,SK네트웍스 Family AI 캠프,1,교과목실습4,LLM 기반 사용자 맞춤 레시피 챗봇,"사용자가 보유한 식재료를 입력하면 해당 재료를 활용한 맞춤형 레시피를 생성하고, 레시피 저장·음성 입출력·이용권 기능을 제공하는 챗봇 서비스 구축",,"Vue.js, Vuetify, JavaScript, TypeScript, Axios, HTML5, CSS3, Python, Django, FastAPI, Pandas, MySQL, Redis, MongoDB, OpenAI API, LangChain, RAG, FAISS, STT, TTS, Kakao API, Docker, Nginx, AWS, TLS/SSL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-4th-3Team
