번호,id,물음,근거,지어냄,메모
1,search-basic,서울 백엔드 신입 찾아줘,근거 있음,없음,
2,search-skill,Spring Boot 쓰는 회사 있어?,근거 있음,없음,
3,search-by-meaning,돈 다루는 일 없나,근거 있음,없음,
4,search-deadline,마감 임박한 백엔드 공고만 보여줘,근거 있음,없음,
5,context-narrow,서울만,근거 있음,없음,
6,context-replace-role,아니 디자이너 쪽,근거 있음,없음,
7,context-reset,처음부터 다시,해당 없음,없음,
8,ask-counts,백엔드 신입은 어떤 기술을 많이 요구해?,근거 있음,없음,공고는 굳이 안나와도 될듯
9,ask-no-counts,자기소개서 어떻게 써야 해?,해당 없음,없음,
10,ask-feeling,취업하고 싶은데 취업하기 싫어 이런 기분 알아?,해당 없음,없음,
11,ref-single,2번 자세히 봐줘,근거 있음,없음,
12,ref-ordinal-word,첫 번째 거 자격요건 알려줘,근거 있음,없음,"적혀 있지 않아요. 자세한사항은 링크에서 확인해주세요, 라고 말해줬으면 좋겠어"
13,ref-compare,1번하고 3번 비교해줘,근거 있음,없음,
14,ref-out-of-range,30번 알려줘,근거 있음,없음,
15,ref-without-list,2번 알려줘,근거 있음,없음,
16,number-is-not-a-ref,3년차인데 갈 만한 데 있어?,근거 있음,있음,경력 3년이 지원할만한곳있어인데 경력 5년이상이 나왔어
17,recommend,내 이력서 보고 맞는 공고 찾아줘,근거 있음,없음,
18,recommend-scoped,내 프로젝트 경험만 보고 추천해줘,근거 있음,없음,
19,unavailable-salary,연봉 높은 순으로 보여줘,일반론,없음,
20,unavailable-pass,나 여기 붙을 확률 얼마야?,일반론,없음,
21,off-topic,오늘 날씨 어때?,해당 없음,없음,
22,polite-tone,야 백엔드 공고 좀 찾아줘,근거 있음,없음,
23,search-narrow-only,마감 임박한 것만,근거 있음,없음,
24,ask-prepare,백엔드 신입은 뭘 준비해야 해?,근거 있음,없음,이것도 굳이 공고까지는 안보여줘도 될거같아
25,ask-interview,면접에서 뭘 물어봐?,해당 없음,없음,
26,ask-despair,취업 너무 막막해,해당 없음,없음,
27,greeting,안녕,해당 없음,없음,
28,off-topic-slur,호구,일반론,없음,
29,off-topic-abuse,바보,일반론,없음,
30,off-topic-gift,친구 생일선물 뭐 사지,일반론,없음,
31,off-topic-code,파이썬으로 퀵소트 코드 짜줘,일반론,없음,
32,off-topic-code-excuse,면접 준비하게 파이썬 코드 짜줘,일반론,없음,
33,refers-last-answer,두 공고의 자격요건만 간단히 비교해줘,근거 있음,없음,
34,not-refers-last-answer,다른 공고도 보여줘,일반론,없음,
35,unavailable-salary-why,급여 제일 높은 공고,일반론,없음,
